group,avg_faith,avg_rel,avg_hall,low_rate
A,2.6153846153846154,2.8846153846153846,1.1153846153846154,0.5769230769230769
B,2.6923076923076925,2.8846153846153846,1.0769230769230769,0.15384615384615385
C,2.6538461538461537,3.3076923076923075,1.0384615384615385,0.5769230769230769
